arg_name,total_instances,appears_explicitly,appears_explicitly_pct,requires_tool_chaining,requires_tool_chaining_pct,requires_grounding,requires_grounding_pct,requires_inference,requires_inference_pct
address1,17,5,29.4,11,64.7,1,5.9,0,0.0
address2,17,6,35.3,9,52.9,2,11.8,0,0.0
city,17,5,29.4,11,64.7,1,5.9,0,0.0
country,17,6,35.3,11,64.7,0,0.0,0,0.0
email,4,4,100.0,0,0.0,0,0.0,0,0.0
expression,3,0,0.0,0,0.0,0,0.0,3,100.0
first_name,39,39,100.0,0,0.0,0,0.0,0,0.0
item_id,2,2,100.0,0,0.0,0,0.0,0,0.0
item_ids,48,0,0.0,0,0.0,40,83.3,8,16.7
last_name,39,39,100.0,0,0.0,0,0.0,0,0.0
new_item_ids,30,0,0.0,0,0.0,26,86.7,4,13.3
order_id,156,12,7.7,143,91.7,0,0.0,1,0.6
payment_method_id,49,0,0.0,49,100.0,0,0.0,0,0.0
product_id,24,0,0.0,24,100.0,0,0.0,0,0.0
reason,12,3,25.0,1,8.3,5,41.7,3,25.0
state,17,2,11.8,13,76.5,1,5.9,1,5.9
user_id,38,0,0.0,38,100.0,0,0.0,0,0.0
zip,56,46,82.1,8,14.3,2,3.6,0,0.0
